Time,Temperature,X_change,Y_change,Z_change,Total_change,Outcome,Average_accl,Disturbance_accl,Case1,Case2,Case3,Case4,Case5
4/6/2020 5:30,36.9,72.848313,85.062714,155.202633,313.11366,1,0.986196333,105.3574163,0.986196333,1.546196333,16.887,1.598196333,0.987436333
4/6/2020 6:00,37.8,75.331308,57.513002,165.190204,298.034514,1,0.990069,100.334907,0.990069,1.550069,16.213,1.602069,0.991309
4/6/2020 6:30,39.1,70.61347,27.128809,157.719348,255.461627,1,1.012511667,86.16638733,1.012511667,1.572511667,11.256,1.624511667,1.013751667
4/6/2020 7:00,38.2,59.746556,5.252001,140.687142,205.685699,1,1.054280333,69.61618,1.054280333,1.614280333,5.569,1.666280333,1.055520333
4/6/2020 7:30,38.6,46.25218,-5.677443,122.494425,163.069162,1,1.115924,55.47231133,1.115924,1.675924,3.4546,1.727924,1.117164
4/6/2020 8:00,38.6,33.392545,-9.284854,106.850391,130.958082,1,1.197745333,44.85043933,1.197745333,1.757745333,2.197745333,1.809745333,1.198985333
4/6/2020 8:30,37.2,22.776973,-9.635883,94.192302,107.333392,0,1.299766,37.07756333,1.299766,1.859766,2.299766,1.911766,1.301006
4/6/2020 9:00,36.1,14.652853,-9.278092,83.932779,89.30754,0,1.421693667,31.19087367,1.421693667,1.981693667,2.421693667,2.033693667,1.422933667
4/6/2020 9:30,38.4,8.596757,-9.474936,75.496219,74.61804,0,1.562901667,26.43558167,1.562901667,2.122901667,2.562901667,2.174901667,1.564141667
4/6/2020 10:00,37.7,3.983534,-10.784149,68.565361,61.764746,0,1.722418,22.31066667,1.722418,2.282418,2.722418,2.334418,1.723658
4/6/2020 10:30,36,0.203999,-13.448531,63.072539,49.828007,0,1.898919333,18.508255,1.898919333,2.458919333,2.898919333,2.510919333,1.900159333
4/6/2020 11:00,39.2,-3.263426,-17.59307,59.164575,38.308079,1,2.090746,14.86010567,2.090746,2.650746,3.090746,2.702746,2.091986
4/6/2020 11:30,36.9,-6.845567,-23.292271,57.199353,27.061515,0,2.295927333,11.31643233,2.295927333,2.855927333,3.295927333,2.907927333,2.297167333
4/6/2020 12:00,38.5,-10.885221,-30.538982,57.767046,16.342843,1,2.512219,7.959833333,2.512219,3.072219,3.512219,3.124219,2.513459
4/6/2020 12:30,37.5,-15.641821,-39.110064,61.691002,6.939117,0,2.737152667,5.050191667,2.737152667,3.297152667,3.737152667,3.349152667,2.738392667
4/6/2020 13:00,37.1,-21.259689,-48.308474,69.905378,0.337215,1,2.968099,3.080504,2.968099,3.528099,3.968099,3.580099,2.969339
4/6/2020 13:30,36.2,-27.681982,-56.606061,83.024694,-1.263349,1,3.202332667,2.781216333,41.548,3.762332667,4.202332667,3.814332667,3.203572667
4/6/2020 14:00,36.6,-34.49955,-61.405702,100.430873,4.525621,1,3.437104,4.945644333,35.2546,3.997104,4.437104,4.049104,3.438344
4/6/2020 14:30,37.1,-40.778945,-59.518082,119.155517,18.85849,1,3.669709333,9.955872667,44.235,4.229709333,4.669709333,4.281709333,3.670949333
4/6/2020 15:00,37.7,-45.046121,-49.029108,133.919725,39.844496,1,3.897557667,17.17905633,3.897557667,4.457557667,4.897557667,4.509557667,3.898797667
4/6/2020 15:30,37.4,-45.722194,-31.777788,139.859729,62.359747,1,4.118230667,24.904813,4.118230667,4.678230667,5.118230667,4.730230667,4.119470667
4/6/2020 16:00,37.5,-42.049278,-13.284514,136.157867,80.824075,1,4.329532,31.27089033,4.329532,4.889532,5.329532,4.941532,4.330772
4/6/2020 16:30,38.7,-34.77691,1.109442,126.105803,92.438335,0,4.529525667,35.342304,4.529525667,5.089525667,5.529525667,5.141525667,4.530765667
4/6/2020 17:00,37.7,-25.757166,9.510199,113.794046,97.547079,0,4.71656,37.232253,4.71656,5.27656,5.71656,5.32856,4.7178
4/6/2020 17:30,37.6,-16.852577,12.972182,101.75454,97.874145,0,4.889283,37.513998,4.889283,5.449283,5.889283,5.501283,4.890523
4/6/2020 18:00,37.5,-9.225904,13.435327,90.895606,95.105029,0,5.046642,36.74831833,5.046642,5.606642,6.046642,5.658642,5.047882
4/6/2020 18:30,37.5,-3.295442,12.486255,81.283202,90.474015,0,5.187874667,35.34587967,5.187874667,5.747874667,6.187874667,5.799874667,5.189114667
4/6/2020 19:00,39.1,1.001627,11.096593,72.725949,84.824169,0,5.312492667,33.58721567,5.312492667,5.872492667,6.312492667,5.924492667,5.313732667
4/6/2020 19:30,36.9,3.94628,9.760501,65.02393,78.730711,0,5.420256667,31.663827,5.420256667,5.980256667,6.420256667,6.032256667,5.421496667
4/6/2020 20:00,35.9,5.870795,8.684097,58.029996,72.584888,0,5.511149333,29.706112,5.511149333,6.071149333,6.511149333,6.123149333,5.512389333
4/6/2020 20:30,36.3,7.077397,7.925499,51.644855,66.647751,0,5.585344333,27.80126133,5.585344333,6.145344333,6.585344333,6.197344333,5.586584333
4/6/2020 21:00,36.5,7.810016,7.480497,45.800115,61.090628,0,5.643176,26.00671867,5.643176,6.203176,6.643176,6.255176,5.644416
4/6/2020 21:30,38.8,8.253375,7.329987,40.445339,56.028701,1,5.685108667,24.36134233,5.685108667,6.245108667,6.685108667,6.297108667,5.686348667
4/6/2020 22:00,37.9,8.543659,7.464597,35.540922,51.549178,0,5.711709,22.89476833,5.711709,6.271709,6.711709,6.323709,0.2
4/6/2020 22:30,37.3,8.782527,7.897408,31.055224,47.735159,0,5.723619333,21.635339,5.723619333,6.283619333,6.723619333,6.335619333,0.9
4/6/2020 23:00,38,9.050796,8.671958,26.964617,44.687371,0,5.721535333,20.61732567,5.721535333,6.281535333,6.721535333,6.333535333,2.32
4/6/2020 23:30,37.2,9.420749,9.869984,23.256193,42.546926,0,5.706186333,19.888495,5.706186333,6.266186333,6.706186333,6.318186333,1.1
4/7/2020 0:00,37,9.967343,11.621924,19.93413,41.523397,0,5.678317667,19.51945,5.678317667,6.238317667,6.678317667,6.290317667,0.57
4/7/2020 0:30,36.3,10.779236,14.122209,17.032535,41.93398,0,5.638677333,19.61667067,5.638677333,6.198677333,6.638677333,6.250677333,4.1
4/7/2020 1:00,38.7,11.970829,17.650801,14.640545,44.262175,0,5.588006,20.34206433,5.588006,6.148006,6.588006,6.200006,3.23
4/7/2020 1:30,39.2,13.696591,22.60081,12.950959,49.24836,1,5.527025333,21.94314533,5.527025333,6.087025333,6.527025333,6.139025333,6.7785
4/7/2020 2:00,35.9,16.168562,29.507089,12.353219,58.02887,0,5.456435,24.79939167,5.456435,6.016435,6.456435,6.068435,9.88
4/7/2020 2:30,37.3,19.676524,39.05594,13.605959,72.338423,0,5.376905,29.48971267,5.376905,5.936905,6.376905,5.988905,19.7785
4/7/2020 3:00,38,24.605655,52.015243,18.135382,94.75628,0,5.289074,36.87450067,5.289074,5.849074,6.289074,5.901074,18.4458
4/7/2020 3:30,36.3,31.433181,68.923352,28.465575,128.822108,0,5.193546667,48.13424933,5.193546667,5.753546667,6.193546667,5.805546667,15.55687
4/7/2020 4:00,39.4,40.651163,89.171549,48.516207,178.338919,1,5.090894667,64.537201,5.090894667,5.650894667,6.090894667,5.702894667,14.2656
4/7/2020 4:30,36.5,52.487616,108.920449,82.565097,243.973162,1,4.981654,86.30604133,4.981654,5.541654,5.981654,5.593654,12.26456
4/7/2020 5:00,38.8,66.194485,118.117268,130.02867,314.340423,1,4.866328333,109.6464693,4.866328333,5.426328333,5.866328333,5.478328333,4.867568333
4/7/2020 5:30,39.2,78.790664,101.645777,175.727231,356.163672,1,4.74539,123.466614,4.74539,5.30539,5.74539,5.35739,4.74663
4/7/2020 6:00,36.8,84.38268,55.41616,193.093273,332.892113,1,4.619282,115.5833197,4.619282,5.179282,5.619282,5.231282,4.620522
4/7/2020 6:30,38,77.509979,3.654837,176.429093,257.593909,1,4.488420667,90.353057,4.488420667,5.048420667,5.488420667,5.100420667,4.489660667
4/7/2020 7:00,39.1,59.836904,-27.692454,147.457561,179.602011,1,4.353199333,64.22053633,4.353199333,4.913199333,5.353199333,4.965199333,4.354439333
4/7/2020 7:30,36.2,38.855342,-38.807623,123.131492,123.179211,1,4.213993,45.27373,4.213993,4.773993,5.213993,4.825993,4.215233
4/7/2020 8:00,37.6,20.215468,-40.481561,106.980695,86.714602,1,4.071159333,32.97602667,4.071159333,4.631159333,5.071159333,4.683159333,4.072399333
4/7/2020 8:30,39.1,5.621587,-39.947448,97.406746,63.080885,1,3.925045667,24.95200733,3.925045667,4.485045667,4.925045667,4.537045667,3.926285667
4/7/2020 9:00,36.6,-5.36701,-40.079635,92.591578,47.144933,1,3.775993,19.49097067,3.775993,4.335993,4.775993,4.387993,3.777233
4/7/2020 9:30,39.3,-13.775128,-41.509562,91.484977,36.200287,1,3.624341,15.69110333,3.624341,4.184341,4.624341,4.236341,3.625581
4/7/2020 10:00,37.6,-20.533196,-43.901064,93.585627,29.151367,1,3.470434,13.18755633,3.470434,4.030434,4.470434,4.082434,3.471674
4/7/2020 10:30,38.7,-26.267681,-46.446749,98.550291,25.835861,1,3.314626,11.92657967,3.314626,3.874626,4.314626,3.926626,3.315866
4/7/2020 11:00,36.9,-31.260951,-48.060458,105.823453,26.502044,1,3.157286333,11.991301,3.157286333,3.717286333,4.157286333,3.769286333,3.158526333
4/7/2020 11:30,37,-35.466951,-47.580067,114.344289,31.297271,1,2.998808333,13.431232,2.998808333,3.558808333,3.998808333,3.610808333,3.000048333
4/7/2020 12:00,39.1,-38.571782,-44.142835,122.484457,39.76984,1,2.839614333,16.09622767,2.839614333,3.399614333,3.839614333,3.451614333,2.840854333
4/7/2020 12:30,36.2,-40.129835,-37.674573,128.405881,50.601473,1,2.680163333,19.547321,2.680163333,3.240163333,3.680163333,3.292163333,2.681403333
4/7/2020 13:00,35.9,-39.784634,-29.149915,130.769876,61.835327,1,2.520957333,23.132733,2.520957333,3.080957333,3.520957333,3.132957333,2.522197333
4/7/2020 13:30,39.1,-37.499162,-20.261403,129.305517,71.544952,1,2.36255,26.21086733,2.36255,2.92255,3.36255,2.97455,2.36379
4/7/2020 14:00,38.6,-33.651465,-12.628436,124.753338,78.473437,1,2.205553333,28.36336567,2.205553333,2.765553333,3.205553333,2.817553333,2.206793333
4/7/2020 14:30,37.8,-28.917474,-7.161083,118.295868,82.217311,1,2.050645333,29.45641567,2.050645333,2.610645333,3.050645333,2.662645333,2.051885333
4/7/2020 15:00,37,-24.029249,-3.980665,111.000368,82.990454,1,1.898576333,29.562061,1.898576333,2.458576333,2.898576333,2.510576333,1.899816333
4/7/2020 15:30,38.9,-19.572196,-2.734118,103.586588,81.280274,1,1.750176,28.84360067,1.750176,2.310176,2.750176,2.362176,1.751416
4/7/2020 16:00,37.2,-15.90638,-2.945653,96.460936,77.608903,1,1.606357333,27.47599167,1.606357333,2.166357333,2.606357333,2.218357333,1.607597333
4/7/2020 16:30,37.6,-13.191136,-4.225536,89.84199,72.425318,0,1.468122333,25.609895,1.468122333,2.028122333,2.468122333,2.080122333,1.469362333
4/7/2020 17:00,35.9,-11.453868,-6.340027,83.872223,66.078328,0,1.336561333,23.36267067,1.336561333,1.896561333,2.336561333,1.948561333,1.337801333
4/7/2020 17:30,38.3,-10.659125,-9.204286,78.692163,58.828752,0,1.212857,20.822441,1.212857,1.772857,2.212857,1.824857,1.214097
4/7/2020 18:00,37,-10.759391,-12.845472,74.488886,50.884023,0,1.098277667,18.05961867,1.098277667,1.658277667,2.098277667,1.710277667,1.099517667
4/7/2020 18:30,36.7,-11.724834,-17.355642,71.534785,42.454309,0,0.994171667,15.145608,0.994171667,1.554171667,1.994171667,1.606171667,0.995411667
4/7/2020 19:00,36.2,-13.554605,-22.833111,70.224275,33.836559,0,0.901957667,12.18081067,0.901957667,1.461957667,1.901957667,1.513957667,0.903197667
4/7/2020 19:30,36.6,-16.271355,-29.296784,71.101538,25.533399,0,0.823107,9.33424,0.823107,1.383107,1.823107,1.435107,0.824347
4/7/2020 20:00,36.3,-19.896516,-36.549574,74.84687,18.40078,0,0.759125333,6.892718667,0.759125333,1.319125333,1.759125333,1.371125333,0.760365333
4/7/2020 20:30,39,-24.398724,-43.973704,82.146977,13.774549,1,0.711523333,5.303039667,0.711523333,1.271523333,1.711523333,1.323523333,0.712763333
4/7/2020 21:00,39,-29.605515,-50.293092,93.331547,13.43294,1,0.681784333,5.159431,0.681784333,1.241784333,1.681784333,1.293784333,0.683024333
4/7/2020 21:30,37.8,-35.079185,-53.484188,107.708036,19.144663,1,0.671327667,7.052882,0.671327667,1.231327667,1.671327667,1.283327667,0.672567667
4/7/2020 22:00,38.4,-40.001049,-51.232429,122.866663,31.633185,1,0.681461,11.225856,0.681461,1.241461,1.681461,1.293461,0.682701
4/7/2020 22:30,37,-43.193048,-42.27086,134.851777,49.387869,1,0.713333,17.175956,0.713333,1.273333,1.713333,1.325333,0.714573
4/7/2020 23:00,36.8,-43.45545,-27.971564,140.018535,68.591521,1,0.767882667,23.631723,0.767882667,1.327882667,1.767882667,1.379882667,0.769122667
4/7/2020 23:30,38.8,-40.205458,-12.286105,137.427299,84.935736,0,0.845782333,29.15769433,0.845782333,1.405782333,1.845782333,1.457782333,0.847022333
4/8/2020 0:00,37.7,-33.948278,0.685829,129.127053,95.864604,0,0.947389333,32.90225733,0.947389333,1.507389333,1.947389333,1.559389333,0.948629333
4/8/2020 0:30,39.2,-26.05162,9.032199,118.153948,101.134527,0,1.072694667,34.78420367,1.072694667,1.632694667,2.072694667,1.684694667,1.073934667
4/8/2020 1:00,38.3,-18.013757,13.092572,106.730872,101.809687,0,1.221287667,35.15785,1.221287667,1.781287667,2.221287667,1.833287667,1.222527667
4/8/2020 1:30,37.9,-10.891909,14.17561,95.903615,99.187316,0,1.392322,34.45476067,1.392322,1.952322,2.392322,2.004322,1.393562
4/8/2020 2:00,36.9,-5.175638,13.541465,85.962761,94.328588,0,1.584504333,33.027367,1.584504333,2.144504333,2.584504333,2.196504333,1.585744333
4/8/2020 2:30,38.9,-0.934859,12.042988,76.887364,87.995493,0,1.796094,31.127925,1.796094,2.356094,2.796094,2.408094,1.797334
4/8/2020 3:00,36,1.981551,10.138623,68.584673,80.704847,0,2.024926333,28.926542,2.024926333,2.584926333,3.024926333,2.636926333,2.026166333
4/8/2020 3:30,39.2,3.797904,8.007959,60.977406,72.783269,1,2.26845,26.52953967,2.26845,2.82845,3.26845,2.88045,2.26969
4/8/2020 4:00,39,4.727085,5.656499,54.022891,64.406475,0,2.523786,23.992611,2.523786,3.083786,3.523786,3.135786,2.525026
4/8/2020 4:30,37.8,4.931388,2.983599,47.713682,55.628669,0,2.787802667,21.33069233,2.787802667,3.347802667,3.787802667,3.399802667,2.789042667
4/8/2020 5:00,38.8,4.509086,-0.182873,42.080666,46.406879,0,3.057199333,18.526159,3.057199333,3.617199333,4.057199333,3.669199333,3.058439333
4/8/2020 5:30,38,3.492571,-4.075533,37.207161,36.624199,0,3.328605333,15.53667167,3.328605333,3.888605333,4.328605333,3.940605333,3.329845333
4/8/2020 6:00,37.7,1.849607,-8.99032,33.260378,26.119665,0,3.598669667,12.30522467,3.598669667,4.158669667,4.598669667,4.210669667,3.599909667
4/8/2020 6:30,38.1,-0.516362,-15.292196,30.549519,14.740961,0,3.864160667,8.777814333,3.864160667,4.424160667,4.864160667,4.476160667,3.865400667
4/8/2020 7:00,39.1,-3.767304,-23.405561,29.624138,2.451273,0,4.122045333,4.939136333,4.122045333,4.682045333,5.122045333,4.734045333,4.123285333
4/8/2020 7:30,39.1,-8.129105,-33.751556,31.424636,-10.456025,0,4.369563,0.884221333,4.369563,4.929563,5.369563,4.981563,4.370803
4/8/2020 8:00,39.4,-13.875349,-46.551599,37.465584,-22.961364,0,4.604282,-3.049506,4.604282,5.164282,5.604282,5.216282,4.605522
